"country","region","subregion","year","total.fertility.rate","life.expectancy.both.sexes","life.expectancy.males","life.expectancy.females"
"Afghanistan","Asia","South-Central Asia",2002,6,46.1,45.11,47.15
"Afghanistan","Asia","South-Central Asia",2022,4.624,53.65,52.1,55.28
"Albania","Europe","Southern Europe",2002,1.9949,75.44,72.79,78.43
"Albania","Europe","Southern Europe",2022,1.5402,79.47,76.8,82.33
"Algeria","Africa","Northern Africa",2002,2.3304,72.99,72.06,73.97
"Algeria","Africa","Northern Africa",2022,2.5058,78.03,76.57,79.57
"American Samoa","Oceania","Polynesia",2002,3.903,69.92,68.38,71.55
"American Samoa","Oceania","Polynesia",2022,2.206,75.32,72.83,77.97
"Andorra","Europe","Southern Europe",2002,1.4164,82.36,80.4,84.35
"Andorra","Europe","Southern Europe",2022,1.4474,83.42,81.2,85.79
"Angola","Africa","Middle Africa",2002,6.7183,53.27,51.34,55.26
"Angola","Africa","Middle Africa",2022,5.8291,62.11,60.05,64.24
"Anguilla","Americas","Caribbean",2002,1.7404,79.14,76.94,81.41
"Anguilla","Americas","Caribbean",2022,1.7235,82.2,79.59,84.89
"Antigua and Barbuda","Americas","Caribbean",2002,2.106,74.23,72.56,75.98
"Antigua and Barbuda","Americas","Caribbean",2022,1.952,77.8,75.63,80.08
"Argentina","Americas","South America",2002,2.4669,75.23,72.16,78.49
"Argentina","Americas","South America",2022,2.182,78.31,75.23,81.59
"Armenia","Asia","Western Asia",2002,1.7325,71.75,68.8,75.24
"Armenia","Asia","Western Asia",2022,1.6502,76.13,72.86,79.68
"Aruba","Americas","Caribbean",2002,1.8583,73.37,70.34,76.46
"Aruba","Americas","Caribbean",2022,1.826,78.01,74.93,81.15
"Australia","Oceania","Australia/New Zealand",2002,1.7529,79.7,77.25,82.27
"Australia","Oceania","Australia/New Zealand",2022,1.7339,83.09,80.93,85.36
"Austria","Europe","Western Europe",2002,1.3928,78.88,76.1,81.79
"Austria","Europe","Western Europe",2022,1.5067,82.27,79.64,85.04
"Azerbaijan","Asia","Western Asia",2002,1.777,68.22,65.32,71.61
"Azerbaijan","Asia","Western Asia",2022,1.8646,74.15,71.08,77.41
"Bahamas, The","Americas","Caribbean",2002,2.0151,71.77,68.44,75.19
"Bahamas, The","Americas","Caribbean",2022,1.977,76.13,73.2,79.14
"Bahrain","Asia","Western Asia",2002,2.4765,75.44,73.5,77.43
"Bahrain","Asia","Western Asia",2022,1.6697,79.9,77.63,82.24
"Bangladesh","Asia","South-Central Asia",2002,3.032,68.18,66.49,69.94
"Bangladesh","Asia","South-Central Asia",2022,2.09,74.7,72.52,76.96
